 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/20Mg(p,p)/actar_triumf/SRIM files/20Na_mixture_90-10_800mbar.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  2.4448E-04 g/cm3 = 6.1773E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    056.25    023.79   
      C      6    012.50    063.00   
      H      1    031.25    013.22   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   5.260E-01  4.141E-03   11.49 mm   472.01 um   577.33 um  
   3.25 MeV   5.575E-01  3.883E-03   11.94 mm   478.19 um   584.18 um  
   3.50 MeV   5.867E-01  3.658E-03   12.38 mm   483.64 um   590.21 um  
   3.75 MeV   6.136E-01  3.459E-03   12.79 mm   488.49 um   595.59 um  
   4.00 MeV   6.382E-01  3.283E-03   13.19 mm   492.88 um   600.43 um  
   4.50 MeV   6.809E-01  2.983E-03   13.94 mm   506.24 um   608.83 um  
   5.00 MeV   7.157E-01  2.737E-03   14.65 mm   517.78 um   615.96 um  
   5.50 MeV   7.438E-01  2.531E-03   15.33 mm   528.06 um   622.16 um  
   6.00 MeV   7.662E-01  2.355E-03   15.99 mm   537.42 um   627.64 um  
   6.50 MeV   7.840E-01  2.205E-03   16.64 mm   546.11 um   632.58 um  
   7.00 MeV   7.978E-01  2.073E-03   17.27 mm   554.27 um   637.09 um  
   8.00 MeV   8.163E-01  1.855E-03   18.50 mm   582.75 um   645.12 um  
   9.00 MeV   8.257E-01  1.681E-03   19.72 mm   608.90 um   652.19 um  
  10.00 MeV   8.285E-01  1.539E-03   20.92 mm   633.54 um   658.58 um  
  11.00 MeV   8.266E-01  1.421E-03   22.13 mm   657.17 um   664.48 um  
  12.00 MeV   8.214E-01  1.320E-03   23.34 mm   680.12 um   670.01 um  
  13.00 MeV   8.136E-01  1.234E-03   24.56 mm   702.62 um   675.26 um  
  14.00 MeV   8.040E-01  1.159E-03   25.80 mm   724.86 um   680.29 um  
  15.00 MeV   7.930E-01  1.093E-03   27.05 mm   746.95 um   685.17 um  
  16.00 MeV   7.812E-01  1.034E-03   28.31 mm   769.00 um   689.93 um  
  17.00 MeV   7.687E-01  9.822E-04   29.60 mm   791.08 um   694.60 um  
  18.00 MeV   7.557E-01  9.354E-04   30.91 mm   813.25 um   699.21 um  
  20.00 MeV   7.293E-01  8.548E-04   33.60 mm   899.27 um   708.32 um  
  22.50 MeV   6.964E-01  7.727E-04   37.11 mm     1.03 mm   719.69 um  
  25.00 MeV   6.645E-01  7.058E-04   40.78 mm     1.15 mm   731.20 um  
  27.50 MeV   6.344E-01  6.501E-04   44.63 mm     1.28 mm   742.99 um  
  30.00 MeV   6.061E-01  6.031E-04   48.66 mm     1.40 mm   755.17 um  
  32.50 MeV   5.798E-01  5.627E-04   52.87 mm     1.52 mm   767.84 um  
  35.00 MeV   5.555E-01  5.277E-04   57.27 mm     1.65 mm   781.05 um  
  37.50 MeV   5.330E-01  4.970E-04   61.86 mm     1.77 mm   794.88 um  
  40.00 MeV   5.122E-01  4.699E-04   66.65 mm     1.90 mm   809.36 um  
  45.00 MeV   4.788E-01  4.241E-04   76.74 mm     2.38 mm   840.37 um  
  50.00 MeV   4.457E-01  3.869E-04   87.55 mm     2.83 mm   874.32 um  
  55.00 MeV   4.198E-01  3.560E-04   99.11 mm     3.27 mm   911.46 um  
  60.00 MeV   3.974E-01  3.298E-04  111.34 mm     3.70 mm   951.77 um  
  65.00 MeV   3.778E-01  3.075E-04  124.24 mm     4.13 mm   995.28 um  
  70.00 MeV   3.605E-01  2.881E-04  137.78 mm     4.55 mm     1.04 mm  
  80.00 MeV   3.315E-01  2.562E-04  166.70 mm     6.13 mm     1.14 mm  
  90.00 MeV   3.081E-01  2.309E-04  197.98 mm     7.56 mm     1.26 mm  
 100.00 MeV   2.887E-01  2.104E-04  231.50 mm     8.93 mm     1.38 mm  
 110.00 MeV   2.722E-01  1.934E-04  267.16 mm    10.26 mm     1.52 mm  
 120.00 MeV   2.579E-01  1.790E-04  304.89 mm    11.57 mm     1.67 mm  
 130.00 MeV   2.454E-01  1.668E-04  344.62 mm    12.87 mm     1.82 mm  
 140.00 MeV   2.342E-01  1.561E-04  386.31 mm    14.16 mm     1.98 mm  
 150.00 MeV   2.241E-01  1.469E-04  429.93 mm    15.45 mm     2.15 mm  
 160.00 MeV   2.149E-01  1.387E-04  475.48 mm    16.74 mm     2.33 mm  
 170.00 MeV   2.065E-01  1.314E-04  522.92 mm    18.04 mm     2.51 mm  
 180.00 MeV   1.987E-01  1.249E-04  572.28 mm    19.35 mm     2.71 mm  
 200.00 MeV   1.846E-01  1.137E-04  676.70 mm    24.36 mm     3.11 mm  
 225.00 MeV   1.693E-01  1.023E-04  818.10 mm    31.53 mm     3.66 mm  
 250.00 MeV   1.561E-01  9.310E-05  971.86 mm    38.32 mm     4.25 mm  
 275.00 MeV   1.446E-01  8.548E-05    1.14 m     44.99 mm     4.89 mm  
 300.00 MeV   1.344E-01  7.906E-05    1.32 m     51.66 mm     5.57 mm  
 325.00 MeV   1.255E-01  7.358E-05    1.51 m     58.41 mm     6.30 mm  
 350.00 MeV   1.176E-01  6.884E-05    1.72 m     65.28 mm     7.08 mm  
 375.00 MeV   1.106E-01  6.470E-05    1.94 m     72.29 mm     7.91 mm  
 400.00 MeV   1.045E-01  6.105E-05    2.17 m     79.44 mm     8.79 mm  
 450.00 MeV   9.435E-02  5.490E-05    2.67 m    106.75 mm    10.69 mm  
 500.00 MeV   8.665E-02  4.993E-05    3.22 m    132.38 mm    12.77 mm  
 550.00 MeV   8.094E-02  4.581E-05    3.82 m    157.06 mm    15.02 mm  
 600.00 MeV   7.687E-02  4.234E-05    4.45 m    180.88 mm    17.40 mm  
 650.00 MeV   7.199E-02  3.939E-05    5.13 m    204.38 mm    19.92 mm  
 700.00 MeV   6.775E-02  3.683E-05    5.84 m    228.14 mm    22.58 mm  
 800.00 MeV   6.075E-02  3.263E-05    7.40 m    317.41 mm    28.35 mm  
 900.00 MeV   5.519E-02  2.933E-05    9.13 m    400.66 mm    34.70 mm  
   1.00 GeV   5.067E-02  2.665E-05   11.02 m    481.87 mm    41.61 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.0904E+01                keV / (ug/cm2) 
  4.0904E+01                MeV / (mg/cm2) 
  4.0904E+04                keV / (mg/cm2) 
  1.6188E+02                 eV / (1E15 atoms/cm2)
  3.0131E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
