 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 15, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/4He_950mbar_95-5.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.8790E-04 g/cm3 = 6.1028E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   4.224E-02  4.077E-05   50.82 mm     1.76 mm   837.44 um  
   3.25 MeV   3.986E-02  3.800E-05   56.91 mm     1.96 mm   880.02 um  
   3.50 MeV   3.776E-02  3.560E-05   63.35 mm     2.17 mm   926.14 um  
   3.75 MeV   3.589E-02  3.350E-05   70.13 mm     2.37 mm   975.80 um  
   4.00 MeV   3.420E-02  3.164E-05   77.26 mm     2.58 mm     1.03 mm  
   4.50 MeV   3.129E-02  2.851E-05   92.54 mm     3.38 mm     1.15 mm  
   5.00 MeV   2.887E-02  2.597E-05  109.16 mm     4.12 mm     1.28 mm  
   5.50 MeV   2.681E-02  2.386E-05  127.12 mm     4.85 mm     1.42 mm  
   6.00 MeV   2.504E-02  2.209E-05  146.40 mm     5.58 mm     1.58 mm  
   6.50 MeV   2.351E-02  2.057E-05  167.00 mm     6.30 mm     1.75 mm  
   7.00 MeV   2.216E-02  1.926E-05  188.89 mm     7.03 mm     1.93 mm  
   8.00 MeV   1.989E-02  1.709E-05  236.50 mm     9.76 mm     2.33 mm  
   9.00 MeV   1.822E-02  1.539E-05  289.00 mm    12.28 mm     2.77 mm  
  10.00 MeV   1.668E-02  1.400E-05  346.33 mm    14.74 mm     3.26 mm  
  11.00 MeV   1.546E-02  1.286E-05  408.59 mm    17.20 mm     3.79 mm  
  12.00 MeV   1.442E-02  1.189E-05  475.54 mm    19.66 mm     4.36 mm  
  13.00 MeV   1.352E-02  1.107E-05  547.14 mm    22.14 mm     4.96 mm  
  14.00 MeV   1.273E-02  1.036E-05  623.33 mm    24.66 mm     5.61 mm  
  15.00 MeV   1.204E-02  9.733E-06  704.05 mm    27.21 mm     6.29 mm  
  16.00 MeV   1.142E-02  9.184E-06  789.26 mm    29.79 mm     7.01 mm  
  17.00 MeV   1.087E-02  8.696E-06  878.92 mm    32.42 mm     7.77 mm  
  18.00 MeV   1.038E-02  8.259E-06  973.00 mm    35.08 mm     8.56 mm  
  20.00 MeV   9.521E-03  7.511E-06    1.17 m     45.25 mm    10.25 mm  
  22.50 MeV   8.642E-03  6.753E-06    1.45 m     59.81 mm    12.56 mm  
  25.00 MeV   7.923E-03  6.139E-06    1.75 m     73.60 mm    15.09 mm  
  27.50 MeV   7.322E-03  5.632E-06    2.08 m     87.12 mm    17.82 mm  
  30.00 MeV   6.813E-03  5.205E-06    2.43 m    100.59 mm    20.76 mm  
  32.50 MeV   6.375E-03  4.841E-06    2.81 m    114.12 mm    23.89 mm  
  35.00 MeV   5.994E-03  4.526E-06    3.22 m    127.78 mm    27.23 mm  
  37.50 MeV   5.659E-03  4.251E-06    3.65 m    141.61 mm    30.76 mm  
  40.00 MeV   5.363E-03  4.009E-06    4.10 m    155.62 mm    34.49 mm  
  45.00 MeV   4.861E-03  3.602E-06    5.08 m    208.62 mm    42.52 mm  
  50.00 MeV   4.451E-03  3.273E-06    6.15 m    258.44 mm    51.30 mm  
  55.00 MeV   4.110E-03  3.001E-06    7.32 m    307.12 mm    60.82 mm  
  60.00 MeV   3.822E-03  2.772E-06    8.58 m    355.53 mm    71.06 mm  
  65.00 MeV   3.574E-03  2.577E-06    9.93 m    404.12 mm    82.00 mm  
  70.00 MeV   3.359E-03  2.408E-06   11.38 m    453.13 mm    93.65 mm  
  80.00 MeV   3.005E-03  2.132E-06   14.52 m    636.04 mm   119.01 mm  
  90.00 MeV   2.723E-03  1.914E-06   18.02 m    806.46 mm   147.04 mm  
