 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/17Ne_800mbar_95-5.txt.txt

 Ion = Neon [10] , Mass = 19.99244 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   3.680E-01  2.508E-03   16.72 mm   582.08 um   658.49 um  
   3.50 MeV   3.859E-01  2.362E-03   17.38 mm   591.27 um   666.14 um  
   3.75 MeV   4.025E-01  2.234E-03   18.01 mm   599.51 um   673.02 um  
   4.00 MeV   4.179E-01  2.119E-03   18.62 mm   607.00 um   679.24 um  
   4.50 MeV   4.447E-01  1.925E-03   19.77 mm   630.84 um   690.13 um  
   5.00 MeV   4.670E-01  1.765E-03   20.86 mm   651.36 um   699.44 um  
   5.50 MeV   4.853E-01  1.632E-03   21.90 mm   669.55 um   707.58 um  
   6.00 MeV   5.004E-01  1.518E-03   22.92 mm   686.03 um   714.83 um  
   6.50 MeV   5.126E-01  1.421E-03   23.90 mm   701.23 um   721.37 um  
   7.00 MeV   5.226E-01  1.336E-03   24.86 mm   715.44 um   727.35 um  
   8.00 MeV   5.367E-01  1.195E-03   26.74 mm   765.21 um   738.03 um  
   9.00 MeV   5.451E-01  1.083E-03   28.59 mm   809.97 um   747.45 um  
  10.00 MeV   5.492E-01  9.908E-04   30.41 mm   851.38 um   755.97 um  
  11.00 MeV   5.500E-01  9.142E-04   32.23 mm   890.47 um   763.82 um  
  12.00 MeV   5.482E-01  8.494E-04   34.05 mm   927.93 um   771.17 um  
  13.00 MeV   5.446E-01  7.936E-04   35.87 mm   964.25 um   778.15 um  
  14.00 MeV   5.395E-01  7.452E-04   37.71 mm   999.76 um   784.84 um  
  15.00 MeV   5.333E-01  7.027E-04   39.58 mm     1.03 mm   791.30 um  
  16.00 MeV   5.262E-01  6.650E-04   41.46 mm     1.07 mm   797.61 um  
  17.00 MeV   5.185E-01  6.315E-04   43.37 mm     1.10 mm   803.78 um  
  18.00 MeV   5.104E-01  6.013E-04   45.32 mm     1.14 mm   809.87 um  
  20.00 MeV   4.933E-01  5.494E-04   49.30 mm     1.27 mm   821.90 um  
  22.50 MeV   4.715E-01  4.965E-04   54.48 mm     1.47 mm   836.88 um  
  25.00 MeV   4.500E-01  4.534E-04   59.90 mm     1.66 mm   852.03 um  
  27.50 MeV   4.293E-01  4.176E-04   65.58 mm     1.84 mm   867.55 um  
  30.00 MeV   4.098E-01  3.873E-04   71.54 mm     2.03 mm   883.58 um  
  32.50 MeV   3.916E-01  3.613E-04   77.78 mm     2.21 mm   900.25 um  
  35.00 MeV   3.746E-01  3.388E-04   84.30 mm     2.40 mm   917.65 um  
  37.50 MeV   3.588E-01  3.191E-04   91.11 mm     2.59 mm   935.86 um  
  40.00 MeV   3.443E-01  3.016E-04   98.22 mm     2.78 mm   954.96 um  
  45.00 MeV   3.214E-01  2.722E-04  113.24 mm     3.50 mm   995.87 um  
  50.00 MeV   2.986E-01  2.482E-04  129.38 mm     4.18 mm     1.04 mm  
  55.00 MeV   2.803E-01  2.283E-04  146.65 mm     4.84 mm     1.09 mm  
  60.00 MeV   2.646E-01  2.116E-04  165.00 mm     5.50 mm     1.14 mm  
  65.00 MeV   2.508E-01  1.972E-04  184.41 mm     6.15 mm     1.20 mm  
  70.00 MeV   2.388E-01  1.848E-04  204.83 mm     6.79 mm     1.26 mm  
  80.00 MeV   2.187E-01  1.642E-04  248.57 mm     9.19 mm     1.40 mm  
  90.00 MeV   2.027E-01  1.480E-04  296.05 mm    11.39 mm     1.55 mm  
 100.00 MeV   1.894E-01  1.349E-04  347.07 mm    13.49 mm     1.72 mm  
 110.00 MeV   1.782E-01  1.239E-04  401.49 mm    15.54 mm     1.90 mm  
 120.00 MeV   1.685E-01  1.147E-04  459.19 mm    17.55 mm     2.09 mm  
 130.00 MeV   1.600E-01  1.069E-04  520.07 mm    19.56 mm     2.30 mm  
 140.00 MeV   1.523E-01  1.000E-04  584.11 mm    21.56 mm     2.51 mm  
 150.00 MeV   1.454E-01  9.408E-05  651.26 mm    23.56 mm     2.74 mm  
 160.00 MeV   1.391E-01  8.882E-05  721.54 mm    25.58 mm     2.98 mm  
 170.00 MeV   1.333E-01  8.415E-05  794.95 mm    27.61 mm     3.23 mm  
 180.00 MeV   1.279E-01  7.997E-05  871.53 mm    29.67 mm     3.48 mm  
 200.00 MeV   1.180E-01  7.278E-05    1.03 m     37.57 mm     4.03 mm  
 225.00 MeV   1.073E-01  6.550E-05    1.26 m     48.99 mm     4.78 mm  
 250.00 MeV   9.795E-02  5.961E-05    1.50 m     59.93 mm     5.59 mm  
 275.00 MeV   8.977E-02  5.472E-05    1.77 m     70.82 mm     6.48 mm  
 300.00 MeV   8.258E-02  5.061E-05    2.06 m     81.89 mm     7.45 mm  
 325.00 MeV   7.626E-02  4.710E-05    2.37 m     93.25 mm     8.50 mm  
 350.00 MeV   7.074E-02  4.406E-05    2.71 m    104.96 mm     9.63 mm  
 375.00 MeV   6.591E-02  4.141E-05    3.08 m    117.06 mm    10.85 mm  
 400.00 MeV   6.172E-02  3.907E-05    3.47 m    129.55 mm    12.16 mm  
 450.00 MeV   5.500E-02  3.513E-05    4.33 m    177.60 mm    15.04 mm  
 500.00 MeV   5.017E-02  3.194E-05    5.28 m    222.92 mm    18.25 mm  
 550.00 MeV   4.692E-02  2.930E-05    6.31 m    266.39 mm    21.74 mm  
 600.00 MeV   4.500E-02  2.709E-05    7.40 m    307.68 mm    25.44 mm  
