 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/20Ne_950mbar_95-5.txt.txt

 Ion = Neon [10] , Mass = 19.992 amu

 Target Density =  1.8790E-04 g/cm3 = 6.1028E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.105E-02  7.341E-02  114.69 um    21.87 um    17.51 um  
  11.00 keV   2.208E-02  7.261E-02  124.59 um    23.46 um    18.78 um  
  12.00 keV   2.306E-02  7.177E-02  134.48 um    25.02 um    20.03 um  
  13.00 keV   2.400E-02  7.092E-02  144.38 um    26.55 um    21.26 um  
  14.00 keV   2.491E-02  7.007E-02  154.29 um    28.06 um    22.48 um  
  15.00 keV   2.578E-02  6.921E-02  164.20 um    29.55 um    23.69 um  
  16.00 keV   2.663E-02  6.836E-02  174.13 um    31.02 um    24.89 um  
  17.00 keV   2.745E-02  6.751E-02  184.07 um    32.48 um    26.08 um  
  18.00 keV   2.824E-02  6.668E-02  194.02 um    33.91 um    27.26 um  
  20.00 keV   2.977E-02  6.507E-02  213.97 um    36.77 um    29.60 um  
  22.50 keV   3.157E-02  6.314E-02  238.99 um    40.29 um    32.49 um  
  25.00 keV   3.328E-02  6.132E-02  264.09 um    43.69 um    35.35 um  
  27.50 keV   3.491E-02  5.960E-02  289.26 um    47.01 um    38.17 um  
  30.00 keV   3.646E-02  5.798E-02  314.49 um    50.24 um    40.96 um  
  32.50 keV   3.795E-02  5.646E-02  339.77 um    53.38 um    43.73 um  
  35.00 keV   3.938E-02  5.502E-02  365.10 um    56.45 um    46.47 um  
