 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/1H_950mbar_95-5.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.8790E-04 g/cm3 = 6.1028E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   3.610E-03  3.043E-06  465.99 mm    19.38 mm     8.30 mm  
   3.25 MeV   3.385E-03  2.831E-06  537.42 mm    21.95 mm     9.53 mm  
   3.50 MeV   3.189E-03  2.649E-06  613.44 mm    24.54 mm    10.84 mm  
   3.75 MeV   3.015E-03  2.489E-06  693.97 mm    27.16 mm    12.22 mm  
   4.00 MeV   2.861E-03  2.348E-06  778.99 mm    29.82 mm    13.67 mm  
   4.50 MeV   2.599E-03  2.112E-06  962.16 mm    39.72 mm    16.79 mm  
   5.00 MeV   2.385E-03  1.920E-06    1.16 m     49.05 mm    20.19 mm  
   5.50 MeV   2.205E-03  1.761E-06    1.38 m     58.17 mm    23.86 mm  
   6.00 MeV   2.053E-03  1.628E-06    1.62 m     67.24 mm    27.81 mm  
   6.50 MeV   1.922E-03  1.514E-06    1.87 m     76.36 mm    32.03 mm  
   7.00 MeV   1.808E-03  1.416E-06    2.13 m     85.56 mm    36.51 mm  
   8.00 MeV   1.618E-03  1.254E-06    2.72 m    119.52 mm    46.25 mm  
   9.00 MeV   1.468E-03  1.127E-06    3.37 m    151.26 mm    57.01 mm  
  10.00 MeV   1.344E-03  1.024E-06    4.08 m    182.34 mm    68.77 mm  
  11.00 MeV   1.242E-03  9.388E-07    4.85 m    213.36 mm    81.50 mm  
  12.00 MeV   1.155E-03  8.673E-07    5.69 m    244.63 mm    95.20 mm  
  13.00 MeV   1.080E-03  8.062E-07    6.58 m    276.29 mm   109.85 mm  
  14.00 MeV   1.015E-03  7.535E-07    7.53 m    308.43 mm   125.42 mm  
  15.00 MeV   9.585E-04  7.075E-07    8.55 m    341.10 mm   141.91 mm  
  16.00 MeV   9.082E-04  6.670E-07    9.62 m    374.32 mm   159.31 mm  
  17.00 MeV   8.634E-04  6.311E-07   10.75 m    408.11 mm   177.61 mm  
  18.00 MeV   8.232E-04  5.990E-07   11.93 m    442.47 mm   196.79 mm  
  20.00 MeV   7.539E-04  5.439E-07   14.47 m    572.09 mm   237.77 mm  
  22.50 MeV   6.833E-04  4.883E-07   17.95 m    757.77 mm   293.80 mm  
  25.00 MeV   6.260E-04  4.434E-07   21.77 m    933.85 mm   355.04 mm  
  27.50 MeV   5.783E-04  4.062E-07   25.92 m      1.11 m    421.35 mm  
  30.00 MeV   5.380E-04  3.751E-07   30.40 m      1.28 m    492.64 mm  
  32.50 MeV   5.036E-04  3.485E-07   35.20 m      1.45 m    568.78 mm  
  35.00 MeV   4.737E-04  3.255E-07   40.31 m      1.63 m    649.69 mm  
  37.50 MeV   4.476E-04  3.055E-07   45.74 m      1.80 m    735.26 mm  
  40.00 MeV   4.245E-04  2.879E-07   51.47 m      1.98 m    825.42 mm  
  45.00 MeV   3.855E-04  2.583E-07   63.82 m      2.65 m      1.02 m   
  50.00 MeV   3.539E-04  2.344E-07   77.35 m      3.28 m      1.23 m   
  55.00 MeV   3.277E-04  2.147E-07   92.02 m      3.89 m      1.46 m   
  60.00 MeV   3.056E-04  1.982E-07  107.81 m      4.50 m      1.70 m   
  65.00 MeV   2.867E-04  1.841E-07  124.68 m      5.11 m      1.96 m   
  70.00 MeV   2.704E-04  1.719E-07  142.63 m      5.72 m      2.24 m   
  80.00 MeV   2.435E-04  1.519E-07  181.57 m      7.96 m      2.83 m   
  90.00 MeV   2.224E-04  1.363E-07  224.52 m     10.04 m      3.48 m   
 100.00 MeV   2.052E-04  1.236E-07  271.30 m     12.06 m      4.19 m   
 110.00 MeV   1.911E-04  1.132E-07  321.77 m     14.04 m      4.94 m   
 120.00 MeV   1.791E-04  1.044E-07  375.79 m     16.02 m      5.74 m   
 130.00 MeV   1.690E-04  9.693E-08  433.23 m     18.00 m      6.59 m   
 140.00 MeV   1.602E-04  9.050E-08  493.96 m     19.98 m      7.48 m   
 150.00 MeV   1.526E-04  8.489E-08  557.88 m     21.97 m      8.41 m   
 160.00 MeV   1.459E-04  7.995E-08  624.87 m     23.97 m      9.38 m   
 170.00 MeV   1.399E-04  7.558E-08  694.83 m     25.98 m     10.39 m   
 180.00 MeV   1.346E-04  7.167E-08  767.66 m     28.00 m     11.43 m   
 200.00 MeV   1.255E-04  6.499E-08  921.47 m     35.55 m     13.62 m   
 225.00 MeV   1.164E-04  5.825E-08    1.13 km    46.15 m     16.52 m   
 250.00 MeV   1.090E-04  5.281E-08    1.35 km    55.92 m     19.59 m   
 275.00 MeV   1.030E-04  4.833E-08    1.59 km    65.23 m     22.81 m   
 300.00 MeV   9.796E-05  4.457E-08    1.83 km    74.24 m     26.16 m   
 325.00 MeV   9.370E-05  4.137E-08    2.10 km    83.03 m     29.64 m   
 350.00 MeV   9.006E-05  3.861E-08    2.37 km    91.64 m     33.22 m   
 375.00 MeV   8.691E-05  3.620E-08    2.65 km   100.11 m     36.89 m   
 400.00 MeV   8.416E-05  3.409E-08    2.94 km   108.45 m     40.64 m   
 450.00 MeV   7.960E-05  3.054E-08    3.55 km   138.90 m     48.36 m   
 500.00 MeV   7.599E-05  2.768E-08    4.20 km   166.26 m     56.31 m   
 550.00 MeV   7.307E-05  2.532E-08    4.87 km   191.68 m     64.43 m   
 600.00 MeV   7.067E-05  2.335E-08    5.56 km   215.71 m     72.68 m   
 650.00 MeV   6.867E-05  2.166E-08    6.28 km   238.65 m     81.02 m   
 700.00 MeV   6.700E-05  2.021E-08    7.02 km   260.69 m     89.42 m   
 800.00 MeV   6.435E-05  1.784E-08    8.54 km   338.59 m    106.32 m   
 900.00 MeV   6.238E-05  1.598E-08   10.12 km   405.96 m    123.21 m   
   1.00 GeV   6.089E-05  1.448E-08   11.74 km   466.72 m    140.01 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  5.3222E+01                keV / (ug/cm2) 
  5.3222E+01                MeV / (mg/cm2) 
  5.3222E+04                keV / (mg/cm2) 
  1.6386E+02                 eV / (1E15 atoms/cm2)
  5.9467E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
