 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/20Na_800mbar_95-5.txt.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   4.185E-01  2.974E-03   16.33 mm   601.61 um   708.67 um  
   3.50 MeV   4.419E-01  2.801E-03   16.91 mm   608.80 um   715.74 um  
   3.75 MeV   4.635E-01  2.649E-03   17.46 mm   615.19 um   722.00 um  
   4.00 MeV   4.833E-01  2.514E-03   17.98 mm   620.94 um   727.61 um  
   4.50 MeV   5.178E-01  2.285E-03   18.97 mm   638.77 um   737.31 um  
   5.00 MeV   5.460E-01  2.096E-03   19.91 mm   654.06 um   745.49 um  
   5.50 MeV   5.689E-01  1.938E-03   20.80 mm   667.61 um   752.55 um  
   6.00 MeV   5.873E-01  1.804E-03   21.66 mm   679.90 um   758.78 um  
   6.50 MeV   6.019E-01  1.689E-03   22.50 mm   691.26 um   764.36 um  
   7.00 MeV   6.134E-01  1.588E-03   23.32 mm   701.93 um   769.44 um  
   8.00 MeV   6.289E-01  1.421E-03   24.93 mm   739.39 um   778.43 um  
   9.00 MeV   6.371E-01  1.288E-03   26.50 mm   773.64 um   786.31 um  
  10.00 MeV   6.400E-01  1.179E-03   28.06 mm   805.80 um   793.40 um  
  11.00 MeV   6.390E-01  1.088E-03   29.62 mm   836.58 um   799.92 um  
  12.00 MeV   6.351E-01  1.011E-03   31.19 mm   866.43 um   806.01 um  
  13.00 MeV   6.292E-01  9.451E-04   32.77 mm   895.68 um   811.77 um  
  14.00 MeV   6.216E-01  8.876E-04   34.37 mm   924.58 um   817.30 um  
  15.00 MeV   6.130E-01  8.371E-04   35.98 mm   953.29 um   822.63 um  
  16.00 MeV   6.035E-01  7.924E-04   37.63 mm   981.96 um   827.83 um  
  17.00 MeV   5.935E-01  7.525E-04   39.30 mm     1.01 mm   832.93 um  
  18.00 MeV   5.831E-01  7.167E-04   40.99 mm     1.04 mm   837.96 um  
  20.00 MeV   5.617E-01  6.550E-04   44.48 mm     1.15 mm   847.89 um  
  22.50 MeV   5.351E-01  5.921E-04   49.04 mm     1.32 mm   860.28 um  
  25.00 MeV   5.093E-01  5.408E-04   53.82 mm     1.49 mm   872.84 um  
  27.50 MeV   4.849E-01  4.981E-04   58.85 mm     1.65 mm   885.74 um  
  30.00 MeV   4.621E-01  4.621E-04   64.13 mm     1.81 mm   899.10 um  
  32.50 MeV   4.409E-01  4.312E-04   69.66 mm     1.97 mm   913.03 um  
  35.00 MeV   4.213E-01  4.044E-04   75.46 mm     2.14 mm   927.62 um  
  37.50 MeV   4.032E-01  3.809E-04   81.52 mm     2.31 mm   942.94 um  
  40.00 MeV   3.866E-01  3.601E-04   87.85 mm     2.47 mm   959.06 um  
  45.00 MeV   3.605E-01  3.250E-04  101.24 mm     3.12 mm   993.74 um  
  50.00 MeV   3.347E-01  2.965E-04  115.62 mm     3.73 mm     1.03 mm  
  55.00 MeV   3.142E-01  2.728E-04  131.03 mm     4.32 mm     1.07 mm  
  60.00 MeV   2.965E-01  2.528E-04  147.40 mm     4.90 mm     1.12 mm  
  65.00 MeV   2.812E-01  2.356E-04  164.71 mm     5.48 mm     1.17 mm  
  70.00 MeV   2.678E-01  2.208E-04  182.92 mm     6.06 mm     1.22 mm  
  80.00 MeV   2.456E-01  1.963E-04  221.90 mm     8.20 mm     1.34 mm  
  90.00 MeV   2.278E-01  1.770E-04  264.17 mm    10.15 mm     1.48 mm  
 100.00 MeV   2.133E-01  1.612E-04  309.52 mm    12.01 mm     1.63 mm  
 110.00 MeV   2.010E-01  1.482E-04  357.80 mm    13.82 mm     1.79 mm  
 120.00 MeV   1.905E-01  1.372E-04  408.88 mm    15.60 mm     1.96 mm  
 130.00 MeV   1.813E-01  1.278E-04  462.67 mm    17.36 mm     2.14 mm  
 140.00 MeV   1.731E-01  1.197E-04  519.10 mm    19.11 mm     2.34 mm  
 150.00 MeV   1.657E-01  1.126E-04  578.14 mm    20.86 mm     2.54 mm  
 160.00 MeV   1.589E-01  1.063E-04  639.75 mm    22.61 mm     2.75 mm  
 170.00 MeV   1.527E-01  1.007E-04  703.93 mm    24.37 mm     2.97 mm  
 180.00 MeV   1.469E-01  9.569E-05  770.68 mm    26.14 mm     3.20 mm  
 200.00 MeV   1.364E-01  8.711E-05  911.93 mm    32.92 mm     3.69 mm  
 225.00 MeV   1.250E-01  7.841E-05    1.10 m     42.63 mm     4.34 mm  
 250.00 MeV   1.151E-01  7.136E-05    1.31 m     51.84 mm     5.05 mm  
 275.00 MeV   1.063E-01  6.552E-05    1.54 m     60.92 mm     5.81 mm  
 300.00 MeV   9.862E-02  6.060E-05    1.78 m     70.04 mm     6.63 mm  
 325.00 MeV   9.179E-02  5.640E-05    2.04 m     79.30 mm     7.52 mm  
 350.00 MeV   8.576E-02  5.277E-05    2.33 m     88.77 mm     8.46 mm  
 375.00 MeV   8.044E-02  4.959E-05    2.63 m     98.47 mm     9.47 mm  
