 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 15, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/20Na_950_95-5.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  1.8790E-04 g/cm3 = 6.1028E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   4.971E-01  3.532E-03   13.75 mm   506.52 um   596.66 um  
   3.50 MeV   5.249E-01  3.327E-03   14.24 mm   512.57 um   602.60 um  
   3.75 MeV   5.506E-01  3.147E-03   14.70 mm   517.95 um   607.88 um  
   4.00 MeV   5.741E-01  2.986E-03   15.14 mm   522.80 um   612.61 um  
   4.50 MeV   6.150E-01  2.713E-03   15.97 mm   537.80 um   620.77 um  
   5.00 MeV   6.485E-01  2.489E-03   16.76 mm   550.68 um   627.65 um  
   5.50 MeV   6.757E-01  2.302E-03   17.51 mm   562.09 um   633.60 um  
   6.00 MeV   6.975E-01  2.143E-03   18.24 mm   572.43 um   638.84 um  
   6.50 MeV   7.149E-01  2.006E-03   18.94 mm   582.00 um   643.54 um  
   7.00 MeV   7.285E-01  1.886E-03   19.63 mm   590.98 um   647.82 um  
   8.00 MeV   7.470E-01  1.688E-03   20.99 mm   622.52 um   655.39 um  
   9.00 MeV   7.567E-01  1.530E-03   22.31 mm   651.36 um   662.03 um  
  10.00 MeV   7.601E-01  1.400E-03   23.63 mm   678.44 um   667.99 um  
  11.00 MeV   7.589E-01  1.293E-03   24.94 mm   704.35 um   673.48 um  
  12.00 MeV   7.544E-01  1.201E-03   26.26 mm   729.48 um   678.61 um  
  13.00 MeV   7.473E-01  1.123E-03   27.59 mm   754.11 um   683.46 um  
  14.00 MeV   7.384E-01  1.054E-03   28.93 mm   778.44 um   688.11 um  
  15.00 MeV   7.281E-01  9.943E-04   30.30 mm   802.61 um   692.61 um  
  16.00 MeV   7.168E-01  9.412E-04   31.68 mm   826.75 um   696.98 um  
  17.00 MeV   7.049E-01  8.938E-04   33.08 mm   850.94 um   701.28 um  
  18.00 MeV   6.926E-01  8.513E-04   34.51 mm   875.25 um   705.51 um  
  20.00 MeV   6.672E-01  7.779E-04   37.45 mm   970.09 um   713.87 um  
  22.50 MeV   6.355E-01  7.032E-04   41.29 mm     1.11 mm   724.30 um  
  25.00 MeV   6.049E-01  6.423E-04   45.32 mm     1.25 mm   734.88 um  
  27.50 MeV   5.759E-01  5.917E-04   49.55 mm     1.39 mm   745.73 um  
  30.00 MeV   5.488E-01  5.488E-04   53.99 mm     1.53 mm   756.98 um  
  32.50 MeV   5.236E-01  5.121E-04   58.65 mm     1.66 mm   768.71 um  
  35.00 MeV   5.004E-01  4.803E-04   63.53 mm     1.80 mm   780.99 um  
  37.50 MeV   4.789E-01  4.524E-04   68.64 mm     1.94 mm   793.89 um  
  40.00 MeV   4.591E-01  4.277E-04   73.96 mm     2.08 mm   807.46 um  
  45.00 MeV   4.282E-01  3.860E-04   85.23 mm     2.63 mm   836.67 um  
  50.00 MeV   3.976E-01  3.521E-04   97.35 mm     3.14 mm   868.85 um  
  55.00 MeV   3.732E-01  3.240E-04  110.32 mm     3.64 mm   904.31 um  
  60.00 MeV   3.522E-01  3.002E-04  124.10 mm     4.13 mm   943.07 um  
