 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/3H_800mbar_95-5.txt.txt

 Ion = Hydrogen [1] , Mass = 3.008 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.285E-02  8.244E-04  919.05 um   123.03 um   138.79 um  
  11.00 keV   1.346E-02  7.695E-04  988.36 um   127.03 um   145.09 um  
  12.00 keV   1.403E-02  7.221E-04    1.06 mm   130.60 um   150.86 um  
  13.00 keV   1.458E-02  6.809E-04    1.12 mm   133.83 um   156.19 um  
  14.00 keV   1.510E-02  6.446E-04    1.18 mm   136.76 um   161.13 um  
  15.00 keV   1.561E-02  6.123E-04    1.24 mm   139.45 um   165.73 um  
  16.00 keV   1.609E-02  5.834E-04    1.30 mm   141.92 um   170.03 um  
  17.00 keV   1.656E-02  5.575E-04    1.36 mm   144.20 um   174.07 um  
  18.00 keV   1.701E-02  5.339E-04    1.42 mm   146.32 um   177.86 um  
  20.00 keV   1.788E-02  4.928E-04    1.53 mm   150.52 um   184.84 um  
  22.50 keV   1.888E-02  4.503E-04    1.66 mm   155.27 um   192.59 um  
  25.00 keV   1.982E-02  4.152E-04    1.78 mm   159.40 um   199.47 um  
  27.50 keV   2.071E-02  3.856E-04    1.90 mm   163.02 um   205.65 um  
  30.00 keV   2.153E-02  3.602E-04    2.02 mm   166.25 um   211.25 um  
  32.50 keV   2.231E-02  3.383E-04    2.13 mm   169.16 um   216.36 um  
