 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/2H_800mbar_95-5.txt.txt

 Ion = Hydrogen [1] , Mass = 2.008 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.560E-02  5.880E-04  820.99 um   109.76 um   126.56 um  
  11.00 keV   1.632E-02  5.480E-04  879.63 um   112.76 um   131.50 um  
  12.00 keV   1.700E-02  5.136E-04  936.15 um   115.43 um   136.00 um  
  13.00 keV   1.766E-02  4.836E-04  990.78 um   117.84 um   140.14 um  
  14.00 keV   1.828E-02  4.573E-04    1.04 mm   120.02 um   143.96 um  
  15.00 keV   1.887E-02  4.340E-04    1.10 mm   122.01 um   147.51 um  
  16.00 keV   1.944E-02  4.132E-04    1.15 mm   123.85 um   150.82 um  
  17.00 keV   1.999E-02  3.945E-04    1.19 mm   125.54 um   153.91 um  
  18.00 keV   2.052E-02  3.775E-04    1.24 mm   127.10 um   156.83 um  
  20.00 keV   2.152E-02  3.480E-04    1.33 mm   130.24 um   162.16 um  
  22.50 keV   2.268E-02  3.175E-04    1.44 mm   133.81 um   168.09 um  
  25.00 keV   2.374E-02  2.924E-04    1.55 mm   136.91 um   173.34 um  
  27.50 keV   2.472E-02  2.712E-04    1.65 mm   139.65 um   178.06 um  
  30.00 keV   2.563E-02  2.532E-04    1.75 mm   142.10 um   182.34 um  
  32.50 keV   2.648E-02  2.376E-04    1.84 mm   144.31 um   186.25 um  
