 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/4He_800mbar_95-5.txt.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   3.556E-02  3.433E-05   60.36 mm     2.09 mm   994.66 um  
   3.25 MeV   3.356E-02  3.199E-05   67.59 mm     2.33 mm     1.05 mm  
   3.50 MeV   3.179E-02  2.997E-05   75.24 mm     2.57 mm     1.10 mm  
   3.75 MeV   3.021E-02  2.820E-05   83.30 mm     2.82 mm     1.16 mm  
   4.00 MeV   2.879E-02  2.664E-05   91.77 mm     3.07 mm     1.22 mm  
   4.50 MeV   2.635E-02  2.400E-05  109.91 mm     4.01 mm     1.36 mm  
   5.00 MeV   2.431E-02  2.186E-05  129.66 mm     4.90 mm     1.52 mm  
   5.50 MeV   2.257E-02  2.009E-05  150.99 mm     5.76 mm     1.69 mm  
   6.00 MeV   2.109E-02  1.860E-05  173.89 mm     6.62 mm     1.87 mm  
   6.50 MeV   1.979E-02  1.732E-05  198.35 mm     7.49 mm     2.08 mm  
   7.00 MeV   1.865E-02  1.621E-05  224.35 mm     8.35 mm     2.29 mm  
   8.00 MeV   1.675E-02  1.439E-05  280.90 mm    11.59 mm     2.77 mm  
   9.00 MeV   1.534E-02  1.296E-05  343.25 mm    14.59 mm     3.29 mm  
  10.00 MeV   1.404E-02  1.179E-05  411.35 mm    17.51 mm     3.87 mm  
  11.00 MeV   1.301E-02  1.083E-05  485.29 mm    20.43 mm     4.50 mm  
  12.00 MeV   1.214E-02  1.001E-05  564.82 mm    23.35 mm     5.18 mm  
  13.00 MeV   1.138E-02  9.319E-06  649.86 mm    26.30 mm     5.90 mm  
  14.00 MeV   1.072E-02  8.719E-06  740.35 mm    29.29 mm     6.66 mm  
  15.00 MeV   1.014E-02  8.194E-06  836.23 mm    32.31 mm     7.48 mm  
  16.00 MeV   9.619E-03  7.732E-06  937.44 mm    35.39 mm     8.33 mm  
  17.00 MeV   9.155E-03  7.321E-06    1.04 m     38.50 mm     9.23 mm  
  18.00 MeV   8.738E-03  6.954E-06    1.16 m     41.67 mm    10.17 mm  
  20.00 MeV   8.016E-03  6.323E-06    1.39 m     53.74 mm    12.18 mm  
  22.50 MeV   7.276E-03  5.686E-06    1.72 m     71.04 mm    14.92 mm  
  25.00 MeV   6.671E-03  5.169E-06    2.08 m     87.42 mm    17.92 mm  
  27.50 MeV   6.165E-03  4.742E-06    2.47 m    103.48 mm    21.16 mm  
  30.00 MeV   5.736E-03  4.383E-06    2.89 m    119.47 mm    24.65 mm  
  32.50 MeV   5.367E-03  4.076E-06    3.34 m    135.54 mm    28.38 mm  
  35.00 MeV   5.046E-03  3.811E-06    3.82 m    151.77 mm    32.34 mm  
  37.50 MeV   4.765E-03  3.579E-06    4.33 m    168.19 mm    36.54 mm  
  40.00 MeV   4.515E-03  3.376E-06    4.87 m    184.84 mm    40.97 mm  
  45.00 MeV   4.092E-03  3.033E-06    6.03 m    247.79 mm    50.50 mm  
  50.00 MeV   3.748E-03  2.756E-06    7.31 m    306.96 mm    60.93 mm  
  55.00 MeV   3.461E-03  2.526E-06    8.70 m    364.78 mm    72.24 mm  
  60.00 MeV   3.218E-03  2.334E-06   10.19 m    422.28 mm    84.40 mm  
  65.00 MeV   3.009E-03  2.169E-06   11.80 m    479.99 mm    97.40 mm  
  70.00 MeV   2.828E-03  2.028E-06   13.51 m    538.19 mm   111.23 mm  
  80.00 MeV   2.530E-03  1.795E-06   17.25 m    755.44 mm   141.35 mm  
  90.00 MeV   2.293E-03  1.611E-06   21.40 m    957.86 mm   174.65 mm  
 100.00 MeV   2.100E-03  1.463E-06   25.96 m      1.16 m    211.05 mm  
 110.00 MeV   1.940E-03  1.341E-06   30.91 m      1.35 m    250.48 mm  
 120.00 MeV   1.805E-03  1.238E-06   36.25 m      1.55 m    292.87 mm  
 130.00 MeV   1.689E-03  1.150E-06   41.98 m      1.75 m    338.16 mm  
 140.00 MeV   1.589E-03  1.075E-06   48.08 m      1.95 m    386.28 mm  
 150.00 MeV   1.501E-03  1.009E-06   54.55 m      2.16 m    437.19 mm  
 160.00 MeV   1.424E-03  9.507E-07   61.39 m      2.37 m    490.84 mm  
 170.00 MeV   1.355E-03  8.992E-07   68.59 m      2.58 m    547.16 mm  
 180.00 MeV   1.293E-03  8.531E-07   76.14 m      2.79 m    606.12 mm  
 200.00 MeV   1.187E-03  7.743E-07   92.28 m      3.61 m    731.83 mm  
 225.00 MeV   1.079E-03  6.947E-07  114.37 m      4.78 m    903.03 mm  
 250.00 MeV   9.919E-04  6.304E-07  138.53 m      5.88 m      1.09 m   
 275.00 MeV   9.196E-04  5.774E-07  164.69 m      6.96 m      1.29 m   
 300.00 MeV   8.588E-04  5.328E-07  192.82 m      8.02 m      1.50 m   
 325.00 MeV   8.068E-04  4.949E-07  222.84 m      9.08 m      1.73 m   
 350.00 MeV   7.619E-04  4.621E-07  254.72 m     10.15 m      1.97 m   
 375.00 MeV   7.226E-04  4.336E-07  288.40 m     11.22 m      2.23 m   
 400.00 MeV   6.881E-04  4.085E-07  323.84 m     12.29 m      2.49 m   
 450.00 MeV   6.300E-04  3.663E-07  399.77 m     16.34 m      3.06 m   
 500.00 MeV   5.830E-04  3.323E-07  482.25 m     20.09 m      3.67 m   
 550.00 MeV   5.442E-04  3.042E-07  571.00 m     23.71 m      4.32 m   
 600.00 MeV   5.116E-04  2.806E-07  665.73 m     27.25 m      5.01 m   
 650.00 MeV   4.839E-04  2.606E-07  766.19 m     30.75 m      5.74 m   
 700.00 MeV   4.600E-04  2.433E-07  872.13 m     34.23 m      6.50 m   
 800.00 MeV   4.209E-04  2.149E-07    1.10 km    46.99 m      8.11 m   
 900.00 MeV   3.903E-04  1.926E-07    1.35 km    58.57 m      9.84 m   
   1.00 GeV   3.657E-04  1.747E-07    1.61 km    69.55 m     11.67 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  6.3213E+01                keV / (ug/cm2) 
  6.3213E+01                MeV / (mg/cm2) 
  6.3213E+04                keV / (mg/cm2) 
  1.9462E+02                 eV / (1E15 atoms/cm2)
  2.0444E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
