 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/20Mg_800mbar_95-5.txt.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   4.501E-01  3.472E-03   15.55 mm   602.37 um   723.69 um  
   3.50 MeV   4.755E-01  3.271E-03   16.09 mm   608.80 um   730.49 um  
   3.75 MeV   4.991E-01  3.095E-03   16.60 mm   614.50 um   736.51 um  
   4.00 MeV   5.209E-01  2.938E-03   17.08 mm   619.63 um   741.90 um  
   4.50 MeV   5.590E-01  2.670E-03   18.00 mm   635.29 um   751.18 um  
   5.00 MeV   5.906E-01  2.451E-03   18.87 mm   648.69 um   758.98 um  
   5.50 MeV   6.165E-01  2.267E-03   19.69 mm   660.54 um   765.70 um  
   6.00 MeV   6.377E-01  2.111E-03   20.49 mm   671.26 um   771.61 um  
   6.50 MeV   6.549E-01  1.976E-03   21.26 mm   681.15 um   776.89 um  
   7.00 MeV   6.687E-01  1.859E-03   22.01 mm   690.40 um   781.67 um  
   8.00 MeV   6.883E-01  1.664E-03   23.48 mm   722.63 um   790.11 um  
   9.00 MeV   6.998E-01  1.509E-03   24.91 mm   752.03 um   797.46 um  
  10.00 MeV   7.053E-01  1.382E-03   26.33 mm   779.57 um   804.03 um  
  11.00 MeV   7.064E-01  1.275E-03   27.75 mm   805.87 um   810.03 um  
  12.00 MeV   7.041E-01  1.185E-03   29.16 mm   831.32 um   815.61 um  
  13.00 MeV   6.994E-01  1.108E-03   30.59 mm   856.21 um   820.87 um  
  14.00 MeV   6.927E-01  1.041E-03   32.02 mm   880.75 um   825.88 um  
  15.00 MeV   6.846E-01  9.818E-04   33.47 mm   905.10 um   830.70 um  
  16.00 MeV   6.754E-01  9.295E-04   34.94 mm   929.39 um   835.37 um  
  17.00 MeV   6.655E-01  8.829E-04   36.43 mm   953.69 um   839.93 um  
  18.00 MeV   6.550E-01  8.410E-04   37.94 mm   978.11 um   844.41 um  
  20.00 MeV   6.331E-01  7.687E-04   41.04 mm     1.07 mm   853.21 um  
  22.50 MeV   6.052E-01  6.950E-04   45.08 mm     1.22 mm   864.09 um  
  25.00 MeV   5.777E-01  6.350E-04   49.30 mm     1.36 mm   875.04 um  
  27.50 MeV   5.515E-01  5.850E-04   53.73 mm     1.50 mm   886.19 um  
  30.00 MeV   5.267E-01  5.428E-04   58.36 mm     1.63 mm   897.67 um  
  32.50 MeV   5.035E-01  5.066E-04   63.21 mm     1.77 mm   909.57 um  
  35.00 MeV   4.819E-01  4.751E-04   68.28 mm     1.91 mm   921.96 um  
  37.50 MeV   4.620E-01  4.476E-04   73.58 mm     2.06 mm   934.92 um  
  40.00 MeV   4.435E-01  4.232E-04   79.10 mm     2.20 mm   948.51 um  
  45.00 MeV   4.146E-01  3.820E-04   90.75 mm     2.75 mm   977.59 um  
  50.00 MeV   3.857E-01  3.486E-04  103.25 mm     3.27 mm     1.01 mm  
  55.00 MeV   3.626E-01  3.207E-04  116.61 mm     3.78 mm     1.04 mm  
  60.00 MeV   3.426E-01  2.973E-04  130.79 mm     4.28 mm     1.08 mm  
  65.00 MeV   3.253E-01  2.771E-04  145.76 mm     4.78 mm     1.12 mm  
  70.00 MeV   3.101E-01  2.597E-04  161.49 mm     5.27 mm     1.17 mm  
  80.00 MeV   2.848E-01  2.310E-04  195.13 mm     7.11 mm     1.27 mm  
  90.00 MeV   2.645E-01  2.082E-04  231.55 mm     8.78 mm     1.38 mm  
 100.00 MeV   2.479E-01  1.898E-04  270.59 mm    10.38 mm     1.50 mm  
 110.00 MeV   2.338E-01  1.745E-04  312.11 mm    11.93 mm     1.64 mm  
 120.00 MeV   2.217E-01  1.615E-04  356.01 mm    13.45 mm     1.78 mm  
 130.00 MeV   2.111E-01  1.505E-04  402.20 mm    14.96 mm     1.94 mm  
 140.00 MeV   2.017E-01  1.409E-04  450.64 mm    16.46 mm     2.10 mm  
 150.00 MeV   1.931E-01  1.325E-04  501.29 mm    17.95 mm     2.27 mm  
 160.00 MeV   1.853E-01  1.252E-04  554.13 mm    19.45 mm     2.45 mm  
 170.00 MeV   1.781E-01  1.186E-04  609.15 mm    20.96 mm     2.64 mm  
 180.00 MeV   1.714E-01  1.127E-04  666.36 mm    22.47 mm     2.84 mm  
 200.00 MeV   1.593E-01  1.026E-04  787.36 mm    28.25 mm     3.25 mm  
 225.00 MeV   1.461E-01  9.238E-05  951.21 mm    36.56 mm     3.81 mm  
 250.00 MeV   1.345E-01  8.408E-05    1.13 m     44.43 mm     4.41 mm  
 275.00 MeV   1.243E-01  7.721E-05    1.32 m     52.18 mm     5.07 mm  
 300.00 MeV   1.153E-01  7.142E-05    1.53 m     59.98 mm     5.77 mm  
 325.00 MeV   1.073E-01  6.648E-05    1.76 m     67.90 mm     6.52 mm  
 350.00 MeV   1.002E-01  6.220E-05    2.00 m     76.00 mm     7.33 mm  
 375.00 MeV   9.392E-02  5.846E-05    2.26 m     84.31 mm     8.20 mm  
 400.00 MeV   8.840E-02  5.517E-05    2.53 m     92.83 mm     9.12 mm  
 450.00 MeV   7.934E-02  4.962E-05    3.13 m    125.54 mm    11.12 mm  
 500.00 MeV   7.254E-02  4.513E-05    3.79 m    156.40 mm    13.34 mm  
 550.00 MeV   6.761E-02  4.141E-05    4.50 m    186.20 mm    15.74 mm  
 600.00 MeV   6.426E-02  3.828E-05    5.26 m    214.93 mm    18.29 mm  
 650.00 MeV   6.019E-02  3.561E-05    6.06 m    243.20 mm    20.99 mm  
 700.00 MeV   5.664E-02  3.330E-05    6.92 m    271.73 mm    23.85 mm  
 800.00 MeV   5.077E-02  2.951E-05    8.78 m    378.83 mm    30.06 mm  
 900.00 MeV   4.612E-02  2.652E-05   10.85 m    478.61 mm    36.89 mm  
   1.00 GeV   4.233E-02  2.410E-05   13.11 m    575.91 mm    44.34 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  6.3213E+01                keV / (ug/cm2) 
  6.3213E+01                MeV / (mg/cm2) 
  6.3213E+04                keV / (mg/cm2) 
  1.9462E+02                 eV / (1E15 atoms/cm2)
  3.8516E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
