 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 10, 2025 
 ==================================================================

 Disk File Name = /media/data/S2008/Calibrations/SRIM/3He_800mbar_95-5.txt.txt

 Ion = Helium [2] , Mass = 3.003 amu

 Target Density =  1.5820E-04 g/cm3 = 5.1382E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 MeV   2.880E-02  2.635E-05   68.78 mm     2.51 mm     1.04 mm  
   3.25 MeV   2.712E-02  2.455E-05   77.72 mm     2.82 mm     1.12 mm  
   3.50 MeV   2.563E-02  2.299E-05   87.19 mm     3.13 mm     1.20 mm  
   3.75 MeV   2.431E-02  2.163E-05   97.20 mm     3.44 mm     1.29 mm  
   4.00 MeV   2.313E-02  2.043E-05  107.74 mm     3.76 mm     1.39 mm  
   4.50 MeV   2.109E-02  1.840E-05  130.36 mm     4.95 mm     1.60 mm  
   5.00 MeV   1.940E-02  1.676E-05  155.07 mm     6.08 mm     1.84 mm  
   5.50 MeV   1.797E-02  1.539E-05  181.83 mm     7.17 mm     2.09 mm  
   6.00 MeV   1.675E-02  1.425E-05  210.62 mm     8.27 mm     2.37 mm  
   6.50 MeV   1.581E-02  1.326E-05  241.32 mm     9.36 mm     2.67 mm  
   7.00 MeV   1.488E-02  1.242E-05  273.90 mm    10.45 mm     2.98 mm  
   8.00 MeV   1.334E-02  1.102E-05  344.84 mm    14.52 mm     3.68 mm  
   9.00 MeV   1.214E-02  9.916E-06  423.38 mm    18.32 mm     4.44 mm  
  10.00 MeV   1.115E-02  9.022E-06  509.28 mm    22.03 mm     5.28 mm  
  11.00 MeV   1.033E-02  8.282E-06  602.42 mm    25.71 mm     6.18 mm  
  12.00 MeV   9.621E-03  7.659E-06  702.70 mm    29.41 mm     7.16 mm  
  13.00 MeV   9.013E-03  7.127E-06  810.02 mm    33.15 mm     8.19 mm  
  14.00 MeV   8.484E-03  6.667E-06  924.31 mm    36.94 mm     9.30 mm  
  15.00 MeV   8.017E-03  6.265E-06    1.05 m     40.78 mm    10.47 mm  
  16.00 MeV   7.604E-03  5.911E-06    1.17 m     44.68 mm    11.70 mm  
  17.00 MeV   7.234E-03  5.596E-06    1.31 m     48.65 mm    12.99 mm  
  18.00 MeV   6.901E-03  5.315E-06    1.45 m     52.68 mm    14.35 mm  
  20.00 MeV   6.325E-03  4.832E-06    1.75 m     68.01 mm    17.24 mm  
  22.50 MeV   5.737E-03  4.344E-06    2.17 m     90.00 mm    21.20 mm  
  25.00 MeV   5.257E-03  3.948E-06    2.62 m    110.84 mm    25.52 mm  
